kde_low_prob_ratio,kde_prob_mean,kde_prob_day_mean,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,hour,is_outside
0,0,0,35734,28634,49047,0,0,0
0,0,16294,25873,45749,65097,54091,0,0
0,0,0,41762,32473,9939,0,41705,0
0,0,0,28777,26258,57898,0,29789,0
0,0,0,14687,46033,55651,64498,17873,0
0,0,0,10796,14113,51644,0,5957,0
0,0,0,8575,50743,26726,35055,0,0
0,0,0,37809,288,60015,0,0,0
0,0,0,27259,4275,37101,0,0,0
0,34899,29805,40638,35801,60671,43780,0,0
0,55453,60344,52041,53415,483,28969,0,0
0,7916,64161,61520,29807,23238,34649,0,0
0,6741,40891,61847,23089,53647,0,0,0
0,1099,37658,35197,52710,15043,37444,53620,0
0,55974,31294,513,5635,14808,51712,41705,0
0,0,0,36911,24061,26066,31997,29789,0
0,0,0,59953,62448,34201,11513,17873,0
0,0,0,61273,44274,13296,41023,5957,0
0,0,0,33309,52535,41088,8915,0,0
0,0,0,24196,26464,63669,18778,0,0
0,0,0,63328,44117,12509,25965,0,0
0,0,0,52106,52005,57431,25899,0,0
0,0,0,52972,48609,42795,38726,0,0
0,0,0,14346,57174,44149,39456,0,0
0,0,0,5306,54246,21086,0,0,0
0,0,0,61931,4746,5717,58510,53620,0
0,0,0,38762,8149,43388,19841,41705,0
0,0,0,10578,51864,37267,0,29789,0
0,0,0,57765,34363,37964,0,17873,0
0,0,0,1063,39508,44636,7559,5957,0
0,0,0,56336,1948,63645,0,0,0
0,0,0,34303,39778,9151,37867,0,0
0,0,0,49779,20068,15734,64562,0,0
0,0,0,34509,52224,35483,3367,0,0
0,0,0,62150,15258,48869,47381,0,0
0,0,57745,15843,18717,60946,26350,0,0
