kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
34642,36330,13240,2014,3600,6309,9627,9627,0,0
34341,33230,14539,2039,3642,50,30133,30133,0,0
33953,33601,15334,981,1749,2254,5359,5359,65535,0
22263,31171,17962,3564,6388,5552,24414,24414,65535,0
27230,29011,22646,8002,7132,443,9253,9253,65535,0
24319,31159,23140,1085,1928,6178,37910,37910,65535,0
23460,28000,23261,1164,2100,208,52377,52377,65535,0
24619,26319,22874,689,1231,1037,16859,16859,65535,0
30315,27453,21920,1056,1896,797,22724,22724,0,0
33616,28902,21318,963,1729,200,13197,13197,0,0
30080,29348,22128,884,1572,186,48469,48469,0,0
34418,29079,20707,1695,3045,1767,57478,57478,0,0
34504,29034,20954,441,789,2694,55354,55354,0,0
32572,29497,21006,771,1372,694,50525,50525,65535,0
12358,27258,23957,4566,8122,8016,13069,13069,65535,0
27508,37062,18896,7348,13204,6098,37400,37400,65535,0
12835,28297,6911,23793,42679,35305,23925,23925,65535,1
56467,39543,17325,16686,29679,15440,9980,9980,65535,0
49120,54084,19360,5094,9056,24481,17212,17212,65535,0
48465,50283,19873,566,1011,9595,24119,24119,65535,0
64841,26423,24830,5571,9929,10615,8616,8616,0,0
65535,26752,25175,553,987,10665,12854,12854,0,0
65535,35907,25614,1726,3113,2562,10448,10448,0,0
55944,53899,24395,2289,2052,635,20098,20098,0,0
28019,51579,28049,5497,9789,9200,27650,27650,65535,0
27056,50987,27801,569,1009,10391,28711,28711,65535,0
33225,60635,23770,4406,7977,8423,23523,23523,65535,0
24615,52049,23586,1423,2546,6489,30339,30339,65535,0
27535,54648,22306,1746,3118,683,43464,43464,65535,0
29213,56153,21652,1014,1810,1559,2317,2317,65535,0
31418,58207,21958,402,717,1301,36288,36288,65535,0
36660,61124,22287,885,1581,1030,12227,12227,0,0
60648,26147,26795,6579,11848,12345,6827,6827,0,0
60805,19594,26476,1217,2161,11483,25712,25712,0,0
62013,20036,25817,907,1634,634,13604,13604,0,0
65535,27361,24827,1084,1931,353,15593,15593,0,0
31486,58376,22275,7254,12971,13181,20230,20230,65535,0
11259,27663,20831,3517,6293,7978,5652,5652,65535,0
13531,31650,19501,2023,3614,3196,39947,39947,65535,0
41844,61805,21361,4481,8029,5284,23881,23881,65535,0
28266,54479,19634,2224,3956,4839,55482,55482,65535,0
29694,56146,20234,679,1212,3271,47566,47566,65535,0
39806,61808,20924,1512,2725,1820,28139,28139,65535,0
51800,56489,25257,4746,8398,6704,23164,23164,0,0
35565,61052,22830,3294,5925,2970,51509,51509,0,0
33857,59810,21821,1157,2071,4606,20433,20433,0,0
38381,61578,22564,891,1584,578,49906,49906,0,0
29537,56372,21320,1610,2903,1588,62776,62776,0,0
19644,43265,21339,1916,3416,610,20033,20033,65535,0
179,2073,22506,10124,6015,1031,2903,2903,65535,1
20623,47011,24523,10090,18190,14658,58065,58065,65535,0
34423,61774,24226,2419,4328,16563,12282,12282,65535,0
37095,62846,24089,539,959,4002,4172,4172,65535,0
51705,56646,25232,2714,4867,4680,14670,14670,0,0
65535,34767,25637,2948,5248,453,8855,8855,0,0
65535,36006,25492,167,299,5937,0,0,0,0
65502,43841,24722,976,1747,1730,4214,4214,0,0
65083,45277,24161,664,1180,673,19596,19596,0,0
58262,51865,24439,1364,2448,1519,45443,45443,65535,0
41948,62451,20075,4772,8527,7253,39092,39092,65535,0
27450,53691,18398,2217,3977,5449,13226,13226,65535,0
33692,59368,19117,941,1672,2734,64870,64870,65535,0
33175,59434,18499,726,1285,457,45769,45769,65535,0
